"Produkt_Code","SDO_ID","Zeitstempel","Wert","Qualitaet_Niveau","Qualitaet_Byte"
"TXK_MN004","2597","20160822","21.5","3","0"
"TXK_MN004","2597","20160823","27.6","3","0"
"TXK_MN004","2597","20160824","30.6","3","0"
"TXK_MN004","2597","20160825","32.4","3","0"
"TXK_MN004","2597","20160826","32.6","3","0"
"TXK_MN004","2597","20160827","34.2","3","0"
"TXK_MN004","2597","20160828","33.8","3","0"
"TXK_MN004","2597","20160829","25.5","3","0"
"TXK_MN004","2597","20160830","24.4","3","0"
"TXK_MN004","2597","20160831","27.1","3","0"
"TXK_MN004","2597","20160901","26.9","3","0"
"TXK_MN004","2597","20160902","26.7","3","0"
"TXK_MN004","2597","20160903","26.1","3","0"
"TXK_MN004","2597","20160904","20.8","3","0"
"TXK_MN004","2597","20160905","19.3","3","0"
"TXK_MN004","2597","20160906","24.3","3","0"
"TXK_MN004","2597","20160907","26.5","3","0"
"TXK_MN004","2597","20160908","28.9","3","0"
"TXK_MN004","2597","20160909","26.6","3","0"
"TXK_MN004","2597","20160910","29.1","3","0"
"TXK_MN004","2597","20160911","29.3","3","0"
"TXK_MN004","2597","20160912","31.3","3","0"
"TXK_MN004","2597","20160913","31.9","3","0"
"TXK_MN004","2597","20160914","30.2","3","0"
"TXK_MN004","2597","20160915","29.9","3","0"
"TXK_MN004","2597","20160916","23","3","0"
"TXK_MN004","2597","20160917","18.1","3","0"
"TXK_MN004","2597","20160918","18.5","3","0"
"TXK_MN004","2597","20160919","14.6","3","0"
"TXK_MN004","2597","20160920","17.8","3","0"
"TXK_MN004","2597","20160921","19.2","3","0"
"TXK_MN004","2597","20160922","20.9","3","0"
"TXK_MN004","2597","20160923","21.5","3","0"
"TXK_MN004","2597","20160924","22.5","3","0"
"TXK_MN004","2597","20160925","24","3","0"
"TXK_MN004","2597","20160926","20.4","3","0"
"TXK_MN004","2597","20160927","22","3","0"
"TXK_MN004","2597","20160928","21.9","3","0"
"TXK_MN004","2597","20160929","24.2","3","0"
"TXK_MN004","2597","20160930","20","3","0"
"TXK_MN004","2597","20161001","17","3","0"
"TXK_MN004","2597","20161002","16.6","3","0"
"TXK_MN004","2597","20161003","14.3","3","0"
"TXK_MN004","2597","20161004","14.3","3","0"
"TXK_MN004","2597","20161005","11.4","3","0"
"TXK_MN004","2597","20161006","11.7","3","0"
"TXK_MN004","2597","20161007","12.6","3","0"
"TXK_MN004","2597","20161008","12.6","3","0"
"TXK_MN004","2597","20161009","11.1","3","0"
"TXK_MN004","2597","20161010","12","3","0"
"TXK_MN004","2597","20161011","9.8","3","0"
